match_time_s,match_time_min,player_id,player_name,risk_score,lr_score,lstm_score,transformer_score,alert_level,confidence_low,confidence_high,alert_fired,latency_ms
60.0,1.0,5203.0,Sergio Busquets i Burgos,0.2887,0.2887,0.2887,0.2887,GREEN,0.2309,0.3464,False,1.53
60.0,1.0,5211.0,Jordi Alba Ramos,0.2456,0.2456,0.2456,0.2456,GREEN,0.1965,0.2947,False,1.46
60.0,1.0,5213.0,Gerard Piqué Bernabéu,0.2812,0.2812,0.2812,0.2812,GREEN,0.225,0.3375,False,1.4
60.0,1.0,5477.0,Ousmane Dembélé,0.238,0.238,0.238,0.238,GREEN,0.1904,0.2856,False,1.45
60.0,1.0,5487.0,Antoine Griezmann,0.1711,0.1711,0.1711,0.1711,GREEN,0.1369,0.2053,False,1.29
60.0,1.0,5503.0,Lionel Andrés Messi Cuccittini,0.2973,0.2973,0.2973,0.2973,GREEN,0.2378,0.3567,False,1.23
60.0,1.0,6379.0,Sergi Roberto Carnicer,0.3071,0.3071,0.3071,0.3071,GREEN,0.2457,0.3686,False,1.33
60.0,1.0,6612.0,Rubén Duarte Sánchez,0.1296,0.1296,0.1296,0.1296,GREEN,0.1037,0.1556,False,1.11
60.0,1.0,6826.0,Clément Lenglet,0.307,0.307,0.307,0.307,GREEN,0.2456,0.3683,False,1.31
60.0,1.0,8118.0,Frenkie de Jong,0.1942,0.1942,0.1942,0.1942,GREEN,0.1553,0.233,False,1.11
60.0,1.0,9462.0,José Ignacio Peleteiro Ramallo,0.364,0.364,0.364,0.364,GREEN,0.2912,0.4368,False,1.07
60.0,1.0,24049.0,Luis Jesús Rioja González,0.2589,0.2589,0.2589,0.2589,GREEN,0.2071,0.3107,False,1.12
60.0,1.0,25134.0,Deyverson Brum Silva Acosta,0.4435,0.4435,0.4435,0.4435,AMBER,0.3548,0.5322,False,1.17
60.0,1.0,26387.0,Edgar Antonio Méndez Ortega,0.3481,0.3481,0.3481,0.3481,GREEN,0.2785,0.4177,False,1.21
90.0,1.5,5203.0,Sergio Busquets i Burgos,0.2755,0.2624,0.2624,0.2624,GREEN,0.21,0.3149,False,2.02
90.0,1.5,5211.0,Jordi Alba Ramos,0.259,0.2723,0.2723,0.2723,GREEN,0.2178,0.3268,False,1.88
90.0,1.5,5213.0,Gerard Piqué Bernabéu,0.2767,0.2722,0.2722,0.2722,GREEN,0.2178,0.3266,False,1.82
90.0,1.5,5477.0,Ousmane Dembélé,0.207,0.1759,0.1759,0.1759,GREEN,0.1408,0.2111,False,1.28
90.0,1.5,5487.0,Antoine Griezmann,0.175,0.179,0.179,0.179,GREEN,0.1432,0.2148,False,1.08
90.0,1.5,5503.0,Lionel Andrés Messi Cuccittini,0.2895,0.2818,0.2818,0.2818,GREEN,0.2254,0.3381,False,1.07
90.0,1.5,6379.0,Sergi Roberto Carnicer,0.3014,0.2956,0.2956,0.2956,GREEN,0.2365,0.3548,False,1.09
90.0,1.5,6612.0,Rubén Duarte Sánchez,0.1296,0.1296,0.1296,0.1296,GREEN,0.1037,0.1556,False,1.1
90.0,1.5,6826.0,Clément Lenglet,0.2984,0.2898,0.2898,0.2898,GREEN,0.2319,0.3478,False,1.08
90.0,1.5,8118.0,Frenkie de Jong,0.1879,0.1817,0.1817,0.1817,GREEN,0.1454,0.2181,False,1.09
90.0,1.5,9462.0,José Ignacio Peleteiro Ramallo,0.364,0.364,0.364,0.364,GREEN,0.2912,0.4368,False,1.1
90.0,1.5,10605.0,Rodrigo Andrés Battaglia,0.2559,0.2559,0.2559,0.2559,GREEN,0.2047,0.3071,False,1.11
90.0,1.5,25134.0,Deyverson Brum Silva Acosta,0.4577,0.4719,0.4719,0.4719,AMBER,0.3775,0.5662,True,1.09
90.0,1.5,26387.0,Edgar Antonio Méndez Ortega,0.3555,0.363,0.363,0.363,GREEN,0.2904,0.4356,False,1.31
90.0,1.5,30756.0,Anssumane Fati,0.199,0.199,0.199,0.199,GREEN,0.1592,0.2388,False,1.11
120.0,2.0,3093.0,Florian Grégoire Claude Lejeune,0.287,0.287,0.287,0.287,GREEN,0.2296,0.3444,False,2.8
120.0,2.0,5203.0,Sergio Busquets i Burgos,0.3013,0.3529,0.3529,0.3529,GREEN,0.2823,0.4234,False,2.63
120.0,2.0,5211.0,Jordi Alba Ramos,0.2503,0.2329,0.2329,0.2329,GREEN,0.1863,0.2795,False,1.56
120.0,2.0,5213.0,Gerard Piqué Bernabéu,0.2762,0.2752,0.2752,0.2752,GREEN,0.2202,0.3302,False,1.27
120.0,2.0,5477.0,Ousmane Dembélé,0.201,0.1892,0.1892,0.1892,GREEN,0.1513,0.227,False,1.08
120.0,2.0,5487.0,Antoine Griezmann,0.174,0.172,0.172,0.172,GREEN,0.1376,0.2065,False,1.08
120.0,2.0,5503.0,Lionel Andrés Messi Cuccittini,0.2857,0.2781,0.2781,0.2781,GREEN,0.2224,0.3337,False,1.08
120.0,2.0,6615.0,Víctor Laguardia Cisneros,0.248,0.248,0.248,0.248,GREEN,0.1984,0.2976,False,1.1
120.0,2.0,6622.0,Tomás Pina Isla,0.7254,0.7254,0.7254,0.7254,RED,0.5803,0.8705,False,1.41
120.0,2.0,6826.0,Clément Lenglet,0.2944,0.2864,0.2864,0.2864,GREEN,0.2291,0.3436,False,1.07
120.0,2.0,8118.0,Frenkie de Jong,0.194,0.206,0.206,0.206,GREEN,0.1648,0.2472,False,1.08
120.0,2.0,10605.0,Rodrigo Andrés Battaglia,0.2559,0.2559,0.2559,0.2559,GREEN,0.2047,0.3071,False,1.07
120.0,2.0,25134.0,Deyverson Brum Silva Acosta,0.4033,0.2944,0.2944,0.2944,AMBER,0.2356,0.3533,False,1.06
120.0,2.0,26387.0,Edgar Antonio Méndez Ortega,0.4537,0.6499,0.6499,0.6499,AMBER,0.5199,0.7799,False,1.08
120.0,2.0,30756.0,Anssumane Fati,0.199,0.199,0.199,0.199,GREEN,0.1592,0.2388,False,1.07
150.0,2.5,3093.0,Florian Grégoire Claude Lejeune,0.287,0.287,0.287,0.287,GREEN,0.2296,0.3444,False,1.74
150.0,2.5,5203.0,Sergio Busquets i Burgos,0.3059,0.3196,0.3196,0.3196,GREEN,0.2557,0.3836,False,1.17
150.0,2.5,5211.0,Jordi Alba Ramos,0.249,0.2451,0.2451,0.2451,GREEN,0.1961,0.2941,False,1.1
150.0,2.5,5213.0,Gerard Piqué Bernabéu,0.2699,0.2509,0.2509,0.2509,GREEN,0.2007,0.3011,False,1.08
150.0,2.5,5477.0,Ousmane Dembélé,0.2184,0.2705,0.2705,0.2705,GREEN,0.2164,0.3246,False,1.09
150.0,2.5,5487.0,Antoine Griezmann,0.1855,0.2197,0.2197,0.2197,GREEN,0.1758,0.2637,False,1.09
150.0,2.5,5503.0,Lionel Andrés Messi Cuccittini,0.3005,0.3447,0.3447,0.3447,GREEN,0.2758,0.4137,False,1.12
150.0,2.5,6379.0,Sergi Roberto Carnicer,0.3062,0.3159,0.3159,0.3159,GREEN,0.2528,0.3791,False,1.09
150.0,2.5,6612.0,Rubén Duarte Sánchez,0.1635,0.2312,0.2312,0.2312,GREEN,0.185,0.2774,False,1.08
150.0,2.5,6615.0,Víctor Laguardia Cisneros,0.248,0.248,0.248,0.248,GREEN,0.1984,0.2976,False,1.11
150.0,2.5,6622.0,Tomás Pina Isla,0.5495,0.3736,0.3736,0.3736,AMBER,0.2989,0.4483,False,1.09
150.0,2.5,6826.0,Clément Lenglet,0.3107,0.3597,0.3597,0.3597,GREEN,0.2878,0.4316,False,1.1
150.0,2.5,8118.0,Frenkie de Jong,0.2351,0.3586,0.3586,0.3586,GREEN,0.2868,0.4303,False,1.1
150.0,2.5,24049.0,Luis Jesús Rioja González,0.2695,0.2801,0.2801,0.2801,GREEN,0.2241,0.3361,False,1.09
150.0,2.5,25134.0,Deyverson Brum Silva Acosta,0.3718,0.2775,0.2775,0.2775,GREEN,0.222,0.333,False,1.11
150.0,2.5,26387.0,Edgar Antonio Méndez Ortega,0.498,0.6311,0.6311,0.6311,AMBER,0.5049,0.7573,True,1.1
180.0,3.0,3093.0,Florian Grégoire Claude Lejeune,0.2546,0.1898,0.1898,0.1898,GREEN,0.1518,0.2277,False,1.28
180.0,3.0,5203.0,Sergio Busquets i Burgos,0.3272,0.4124,0.4124,0.4124,GREEN,0.3299,0.4949,False,1.22
180.0,3.0,5211.0,Jordi Alba Ramos,0.2459,0.2337,0.2337,0.2337,GREEN,0.187,0.2805,False,1.11
180.0,3.0,5213.0,Gerard Piqué Bernabéu,0.2763,0.3018,0.3018,0.3018,GREEN,0.2414,0.3621,False,1.06
180.0,3.0,5477.0,Ousmane Dembélé,0.2373,0.3127,0.3127,0.3127,GREEN,0.2502,0.3753,False,1.09
180.0,3.0,6379.0,Sergi Roberto Carnicer,0.3162,0.3459,0.3459,0.3459,GREEN,0.2767,0.4151,False,1.15
180.0,3.0,6612.0,Rubén Duarte Sánchez,0.1652,0.1702,0.1702,0.1702,GREEN,0.1361,0.2042,False,1.09
180.0,3.0,6622.0,Tomás Pina Isla,0.4087,0.1273,0.1273,0.1273,AMBER,0.1018,0.1527,True,1.07
180.0,3.0,8118.0,Frenkie de Jong,0.2432,0.2756,0.2756,0.2756,GREEN,0.2205,0.3308,False,1.13
180.0,3.0,24049.0,Luis Jesús Rioja González,0.2877,0.3242,0.3242,0.3242,GREEN,0.2593,0.389,False,1.11
180.0,3.0,25134.0,Deyverson Brum Silva Acosta,0.3655,0.3402,0.3402,0.3402,GREEN,0.2722,0.4083,False,1.12
180.0,3.0,26387.0,Edgar Antonio Méndez Ortega,0.5415,0.7153,0.7153,0.7153,AMBER,0.5723,0.8584,False,1.35
210.0,3.5,3093.0,Florian Grégoire Claude Lejeune,0.2384,0.1899,0.1899,0.1899,GREEN,0.1519,0.2279,False,1.83
210.0,3.5,5203.0,Sergio Busquets i Burgos,0.3364,0.3823,0.3823,0.3823,GREEN,0.3058,0.4588,False,1.1
210.0,3.5,5211.0,Jordi Alba Ramos,0.2695,0.3873,0.3873,0.3873,GREEN,0.3098,0.4647,False,1.08
210.0,3.5,5213.0,Gerard Piqué Bernabéu,0.3042,0.4438,0.4438,0.4438,GREEN,0.355,0.5326,False,1.07
210.0,3.5,6379.0,Sergi Roberto Carnicer,0.321,0.3406,0.3406,0.3406,GREEN,0.2725,0.4087,False,1.07
210.0,3.5,6612.0,Rubén Duarte Sánchez,0.1642,0.1602,0.1602,0.1602,GREEN,0.1282,0.1923,False,1.09
210.0,3.5,6622.0,Tomás Pina Isla,0.3563,0.199,0.199,0.199,GREEN,0.1592,0.2387,False,1.47
210.0,3.5,6826.0,Clément Lenglet,0.3205,0.3598,0.3598,0.3598,GREEN,0.2879,0.4318,False,1.11
210.0,3.5,6923.0,Joaquín Navarro Jiménez,0.2276,0.2276,0.2276,0.2276,GREEN,0.1821,0.2732,False,1.08
210.0,3.5,8118.0,Frenkie de Jong,0.2535,0.3047,0.3047,0.3047,GREEN,0.2438,0.3656,False,1.36
210.0,3.5,10605.0,Rodrigo Andrés Battaglia,0.2496,0.2371,0.2371,0.2371,GREEN,0.1897,0.2845,False,1.29
210.0,3.5,24049.0,Luis Jesús Rioja González,0.2923,0.306,0.306,0.306,GREEN,0.2448,0.3672,False,1.11
210.0,3.5,25134.0,Deyverson Brum Silva Acosta,0.3525,0.2872,0.2872,0.2872,GREEN,0.2297,0.3446,False,1.28
210.0,3.5,26387.0,Edgar Antonio Méndez Ortega,0.5567,0.6327,0.6327,0.6327,AMBER,0.5061,0.7592,True,1.38
240.0,4.0,5211.0,Jordi Alba Ramos,0.2917,0.4247,0.4247,0.4247,GREEN,0.3397,0.5096,False,1.71
240.0,4.0,5487.0,Antoine Griezmann,0.2058,0.2873,0.2873,0.2873,GREEN,0.2299,0.3448,False,1.2
240.0,4.0,5503.0,Lionel Andrés Messi Cuccittini,0.3712,0.654,0.654,0.654,GREEN,0.5232,0.7848,False,1.83
240.0,4.0,6615.0,Víctor Laguardia Cisneros,0.2519,0.2597,0.2597,0.2597,GREEN,0.2077,0.3116,False,1.12
240.0,4.0,6826.0,Clément Lenglet,0.3132,0.2765,0.2765,0.2765,GREEN,0.2212,0.3318,False,1.46
240.0,4.0,6923.0,Joaquín Navarro Jiménez,0.2218,0.2159,0.2159,0.2159,GREEN,0.1727,0.2591,False,1.12
240.0,4.0,8118.0,Frenkie de Jong,0.2576,0.2822,0.2822,0.2822,GREEN,0.2257,0.3386,False,1.12
240.0,4.0,9462.0,José Ignacio Peleteiro Ramallo,0.4191,0.5294,0.5294,0.5294,AMBER,0.4235,0.6353,False,1.16
240.0,4.0,10605.0,Rodrigo Andrés Battaglia,0.2312,0.176,0.176,0.176,GREEN,0.1408,0.2112,False,1.28
240.0,4.0,24049.0,Luis Jesús Rioja González,0.2752,0.2067,0.2067,0.2067,GREEN,0.1653,0.248,False,1.09
240.0,4.0,25134.0,Deyverson Brum Silva Acosta,0.3361,0.2381,0.2381,0.2381,GREEN,0.1904,0.2857,False,1.15
240.0,4.0,26387.0,Edgar Antonio Méndez Ortega,0.5491,0.5039,0.5039,0.5039,AMBER,0.4031,0.6047,False,1.1
270.0,4.5,5211.0,Jordi Alba Ramos,0.3658,0.8851,0.8851,0.8851,GREEN,0.7081,1.0,False,1.35
270.0,4.5,5487.0,Antoine Griezmann,0.2194,0.2871,0.2871,0.2871,GREEN,0.2297,0.3446,False,1.2
270.0,4.5,5503.0,Lionel Andrés Messi Cuccittini,0.4235,0.6851,0.6851,0.6851,AMBER,0.5481,0.8221,False,1.09
270.0,4.5,6612.0,Rubén Duarte Sánchez,0.1653,0.171,0.171,0.171,GREEN,0.1368,0.2052,False,1.12
270.0,4.5,6615.0,Víctor Laguardia Cisneros,0.2593,0.2815,0.2815,0.2815,GREEN,0.2252,0.3378,False,1.24
270.0,4.5,6622.0,Tomás Pina Isla,0.3428,0.2887,0.2887,0.2887,GREEN,0.231,0.3465,False,1.13
270.0,4.5,6826.0,Clément Lenglet,0.295,0.186,0.186,0.186,GREEN,0.1488,0.2232,False,1.33
270.0,4.5,6923.0,Joaquín Navarro Jiménez,0.217,0.2074,0.2074,0.2074,GREEN,0.1659,0.2488,False,1.2
270.0,4.5,9462.0,José Ignacio Peleteiro Ramallo,0.4562,0.5673,0.5673,0.5673,AMBER,0.4538,0.6808,True,1.16
270.0,4.5,10605.0,Rodrigo Andrés Battaglia,0.2189,0.1696,0.1696,0.1696,GREEN,0.1357,0.2035,False,1.17
270.0,4.5,24049.0,Luis Jesús Rioja González,0.2616,0.194,0.194,0.194,GREEN,0.1552,0.2328,False,1.31
270.0,4.5,26387.0,Edgar Antonio Méndez Ortega,0.5138,0.2661,0.2661,0.2661,AMBER,0.2129,0.3193,True,1.12
300.0,5.0,3093.0,Florian Grégoire Claude Lejeune,0.2526,0.3094,0.3094,0.3094,GREEN,0.2475,0.3713,False,1.38
300.0,5.0,5211.0,Jordi Alba Ramos,0.3843,0.5322,0.5322,0.5322,GREEN,0.4258,0.6387,False,1.18
300.0,5.0,5213.0,Gerard Piqué Bernabéu,0.3143,0.3751,0.3751,0.3751,GREEN,0.3001,0.4501,False,1.12
300.0,5.0,6612.0,Rubén Duarte Sánchez,0.1717,0.2103,0.2103,0.2103,GREEN,0.1682,0.2524,False,1.11
300.0,5.0,6615.0,Víctor Laguardia Cisneros,0.2425,0.1755,0.1755,0.1755,GREEN,0.1404,0.2106,False,1.1
300.0,5.0,6622.0,Tomás Pina Isla,0.3336,0.2877,0.2877,0.2877,GREEN,0.2302,0.3453,False,1.08
300.0,5.0,6826.0,Clément Lenglet,0.284,0.2071,0.2071,0.2071,GREEN,0.1656,0.2485,False,1.08
300.0,5.0,6923.0,Joaquín Navarro Jiménez,0.2346,0.2877,0.2877,0.2877,GREEN,0.2301,0.3452,False,1.09
300.0,5.0,9462.0,José Ignacio Peleteiro Ramallo,0.4129,0.24,0.24,0.24,AMBER,0.192,0.288,False,1.18
300.0,5.0,10605.0,Rodrigo Andrés Battaglia,0.2348,0.3144,0.3144,0.3144,GREEN,0.2515,0.3772,False,1.12
300.0,5.0,24049.0,Luis Jesús Rioja González,0.2683,0.3081,0.3081,0.3081,GREEN,0.2465,0.3697,False,1.13
300.0,5.0,26387.0,Edgar Antonio Méndez Ortega,0.4733,0.1492,0.1492,0.1492,AMBER,0.1194,0.1791,False,1.11
330.0,5.5,3093.0,Florian Grégoire Claude Lejeune,0.2621,0.3096,0.3096,0.3096,GREEN,0.2476,0.3715,False,1.33
330.0,5.5,5211.0,Jordi Alba Ramos,0.3639,0.0776,0.3692,0.0776,GREEN,0.0621,0.0932,False,6.74
330.0,5.5,5213.0,Gerard Piqué Bernabéu,0.3115,0.292,0.292,0.292,GREEN,0.2336,0.3504,False,1.3
330.0,5.5,5477.0,Ousmane Dembélé,0.2535,0.3344,0.3344,0.3344,GREEN,0.2675,0.4012,False,1.12
330.0,5.5,6379.0,Sergi Roberto Carnicer,0.3043,0.2205,0.2205,0.2205,GREEN,0.1764,0.2646,False,1.5
330.0,5.5,6615.0,Víctor Laguardia Cisneros,0.2332,0.1863,0.1863,0.1863,GREEN,0.149,0.2235,False,1.1
330.0,5.5,6622.0,Tomás Pina Isla,0.3277,0.2923,0.2923,0.2923,GREEN,0.2338,0.3508,False,1.1
330.0,5.5,6826.0,Clément Lenglet,0.27,0.1578,0.1578,0.1578,GREEN,0.1262,0.1893,False,1.11
330.0,5.5,8118.0,Frenkie de Jong,0.2438,0.1478,0.1478,0.1478,GREEN,0.1182,0.1773,False,1.1
330.0,5.5,10605.0,Rodrigo Andrés Battaglia,0.24,0.2712,0.2712,0.2712,GREEN,0.217,0.3255,False,1.1
330.0,5.5,24049.0,Luis Jesús Rioja González,0.2715,0.2939,0.2939,0.2939,GREEN,0.2351,0.3527,False,1.08
330.0,5.5,26387.0,Edgar Antonio Méndez Ortega,0.4527,0.1852,0.4221,0.1852,AMBER,0.1482,0.2223,True,4.74
360.0,6.0,5203.0,Sergio Busquets i Burgos,0.3527,0.4509,0.4509,0.4509,GREEN,0.3607,0.5411,False,1.29
360.0,6.0,5213.0,Gerard Piqué Bernabéu,0.3129,0.3241,0.3241,0.3241,GREEN,0.2593,0.3889,False,1.15
360.0,6.0,5477.0,Ousmane Dembélé,0.2899,0.5082,0.5082,0.5082,GREEN,0.4066,0.6099,False,1.08
360.0,6.0,5487.0,Antoine Griezmann,0.2225,0.2412,0.2412,0.2412,GREEN,0.193,0.2895,False,1.14
360.0,6.0,6379.0,Sergi Roberto Carnicer,0.2938,0.2306,0.2306,0.2306,GREEN,0.1845,0.2768,False,1.51
360.0,6.0,6612.0,Rubén Duarte Sánchez,0.1736,0.1865,0.1865,0.1865,GREEN,0.1492,0.2239,False,1.11
360.0,6.0,6622.0,Tomás Pina Isla,0.3181,0.251,0.251,0.251,GREEN,0.2008,0.3012,False,1.44
360.0,6.0,6826.0,Clément Lenglet,0.2702,0.2032,0.3987,0.2032,GREEN,0.1626,0.2439,False,4.51
360.0,6.0,8118.0,Frenkie de Jong,0.2411,0.2191,0.2191,0.2191,GREEN,0.1753,0.2629,False,1.14
360.0,6.0,9462.0,José Ignacio Peleteiro Ramallo,0.3772,0.1987,0.1987,0.1987,GREEN,0.159,0.2384,False,1.56
360.0,6.0,10605.0,Rodrigo Andrés Battaglia,0.2396,0.2371,0.2371,0.2371,GREEN,0.1897,0.2845,False,1.08
360.0,6.0,24049.0,Luis Jesús Rioja González,0.266,0.2226,0.2226,0.2226,GREEN,0.1781,0.2671,False,1.08
360.0,6.0,25134.0,Deyverson Brum Silva Acosta,0.3546,0.4843,0.4843,0.4843,GREEN,0.3875,0.5812,False,1.08
390.0,6.5,5203.0,Sergio Busquets i Burgos,0.3614,0.4221,0.4221,0.4221,GREEN,0.3376,0.5065,False,1.92
390.0,6.5,5211.0,Jordi Alba Ramos,0.363,0.2024,0.3004,0.2024,GREEN,0.1619,0.2429,False,4.96
390.0,6.5,5213.0,Gerard Piqué Bernabéu,0.3238,0.354,0.5482,0.354,GREEN,0.2832,0.4249,False,3.89
390.0,6.5,5477.0,Ousmane Dembélé,0.3374,0.6699,0.6699,0.6699,GREEN,0.5359,0.8039,False,1.12
390.0,6.5,5487.0,Antoine Griezmann,0.223,0.2267,0.2267,0.2267,GREEN,0.1814,0.2721,False,1.13
390.0,6.5,5503.0,Lionel Andrés Messi Cuccittini,0.4092,0.3237,0.3237,0.3237,AMBER,0.2589,0.3884,True,1.13
390.0,6.5,6379.0,Sergi Roberto Carnicer,0.2918,0.2779,0.2779,0.2779,GREEN,0.2223,0.3335,False,1.2
390.0,6.5,6590.0,Norberto Murara Neto,0.2586,0.2586,0.2586,0.2586,GREEN,0.2069,0.3104,False,1.36
390.0,6.5,6612.0,Rubén Duarte Sánchez,0.1792,0.2239,0.2239,0.2239,GREEN,0.1791,0.2686,False,1.11
390.0,6.5,6629.0,Fernando Pacheco Flores,0.2022,0.2022,0.2022,0.2022,GREEN,0.1617,0.2426,False,1.11
390.0,6.5,6923.0,Joaquín Navarro Jiménez,0.2853,0.4881,0.4881,0.4881,GREEN,0.3904,0.5857,False,1.09
390.0,6.5,8118.0,Frenkie de Jong,0.2763,0.4815,0.8009,0.4815,GREEN,0.3852,0.5777,False,5.31
390.0,6.5,9462.0,José Ignacio Peleteiro Ramallo,0.3508,0.1925,0.1925,0.1925,GREEN,0.154,0.231,False,1.22
390.0,6.5,10605.0,Rodrigo Andrés Battaglia,0.234,0.1887,0.1887,0.1887,GREEN,0.151,0.2265,False,1.11
390.0,6.5,24049.0,Luis Jesús Rioja González,0.2807,0.2889,0.6409,0.2889,GREEN,0.2312,0.3467,False,4.53
390.0,6.5,25134.0,Deyverson Brum Silva Acosta,0.369,0.4843,0.4843,0.4843,GREEN,0.3875,0.5812,False,1.2
390.0,6.5,26387.0,Edgar Antonio Méndez Ortega,0.4412,0.1965,0.2993,0.1965,AMBER,0.1572,0.2358,True,4.17
